artista_id;fecha;popularidad;seguidores
5Bcrb5qQMVTEbJ43fdIS4A;04-24-2020;59;46642
5jq01ts8cBQWwVZOpMax6s;04-24-2020;52;29565
0XHM5ZNJDU8e4CfbWMeSzC;04-24-2020;60;143982
7A0awCXkE1FtSU8B0qwOJQ;04-24-2020;66;586796
4AK6F7OLvEQ5QYCBNiQWHq;04-24-2020;88;15651223
2NhdGz9EDv2FeUw6udu2g1;04-24-2020;68;2005174
3QSQFmccmX81fWCUSPTS7y;04-24-2020;81;1067401
4nDoRrQiYLoBzwC5BhVJzF;04-24-2020;90;15996844
33szNKNcVX8x0jl8X7hxHL;04-24-2020;48;58773
1yDI9pWnlrJmi9kZn3gkCb;04-24-2020;51;25966
6ps9u0MZquDDBReh8XuBeY;04-24-2020;49;10004
4LEiUm1SRbFMgfqnQTwUbQ;04-24-2020;77;2614315
5sXaGoRLSpd7VeyZrLkKwt;04-24-2020;69;423513
5y2Xq6xcjJb2jVM54GHK3t;04-24-2020;83;4972699
31TPClRtHm23RisEBtV3X7;04-24-2020;84;9008651
1Naqgo0HMRoumRP0e2MXD9;04-24-2020;58;14455
2CvCyf1gEVhI0mX6aFXmVI;04-24-2020;73;1289933
3gMaNLQm7D9MornNILzdSl;04-24-2020;73;1642411
2ycnb8Er79LoH2AsR5ldjh;04-24-2020;70;962853
1Fmb52lZ6Jv7FMWXXTPO3K;04-24-2020;65;390717
3eqjTLE0HfPfh78zjh6TqT;04-24-2020;79;3072836
6XpaIBNiVzIetEPCWDvAFP;04-24-2020;81;5353281
7C4sUpWGlTy7IANjruj02I;04-24-2020;68;925604
2cnMpRsOVqtPMfq7YiFE6K;04-24-2020;75;3109999
77tT1kLj6mCWtFNqiOmP9H;04-24-2020;75;1148537
1eClJfHLoDI4rZe5HxzBFv;04-24-2020;71;1359436
7guDJrEfX3qb6FEbdPA5qi;04-24-2020;79;4199826
5gxynDEKwNDgxGJmJjZyte;04-24-2020;65;521395
1zuJe6b1roixEKMOtyrEak;04-24-2020;71;1769270
6IRouO5mvvfcyxtPDKMYFN;04-24-2020;72;1555129
51l0uqRxGaczYr4271pVIC;04-24-2020;66;661377
4bthk9UfsYUYdcFyqxmSUU;04-24-2020;73;1544075
2SHhfs4BiDxGQ3oxqf0UHY;04-24-2020;74;1081918
2jzc5TC5TVFLXQlBNiIUzE;04-24-2020;73;1142166
5NGO30tJxFlKixkPSgXcFE;04-24-2020;78;3446744
2UZMlIwnkgAEDBsw1Rejkn;04-24-2020;73;1212554
4lxfqrEsLX6N1N4OCSkILp;04-24-2020;79;2758817
08GQAI4eElDnROBrJRGE0X;04-24-2020;82;4490135
6kz53iCdBSqhQCZ21CoLcc;04-24-2020;66;804562
7n2wHs1TKAczGzO7Dd2rGr;04-24-2020;89;25901154
3AVfmawzu83sp94QW7CEGm;04-24-2020;74;567158
6VuMaDnrHyPL1p4EHjYLi7;04-24-2020;82;10100096
4IWBUUAFIplrNtaOHcJPRM;04-24-2020;85;5833345
5p7f24Rk5HkUZsaS3BLG5F;04-24-2020;80;5592555
4K9OTkRXEFL6NDXFTqVmq9;04-24-2020;65;53534
3qnGvpP8Yth1AqSBMqON5x;04-24-2020;77;978184
55fhWPvDiMpLnE4ZzNXZyW;04-24-2020;80;576973
25u4wHJWxCA9vO0CzxAbK7;04-24-2020;76;1657573
5IH6FPUwQTxPSXurCrcIov;04-24-2020;82;1471310
5Pwc4xIPtQLFEnJriah9YJ;04-24-2020;85;9787143
4kYGAK2zu9EAomwj3hXkXy;04-24-2020;76;510515
6eUKZXaKkcviH0Ku9w2n3V;04-24-2020;94;62787529
7z2avKuuiMAT4XZJFv8Rvh;04-24-2020;75;653791
1cZQSpDsxgKIX2yW5OR9Ot;04-24-2020;79;194254
4xnihxcoXWK3UqryOSnbw5;04-24-2020;78;440564
5Yo5iU2nf4H41waPl4ZnS1;04-24-2020;72;445222
